categ_code;Libellé catégorie;Libéllé catégorie n2;Domaine;Autorité compétente 1;Autorité compétente 2;Commentaire;Commentaire OCTO
160;Centre de Soins Spécifiques pour Toxicomanes (C.S.S.T.);Autres Etab. Accueil, Hébergement, Réadaptation et Services;;ARS;;;Reste à renseigner
161;Maison de Santé pour Maladies Mentales;Etablissements Hospitaliers;Sanitaire;ARS;;;
162;Centre de Cure Ambulatoire en Alcoologie (C.C.A.A.);Autres Etab. Accueil, Hébergement, Réadaptation et Services;;ARS;;;Reste à renseigner
163;Maison d'Enfants à Caractère Sanitaire Temporaire;Etablissements Hospitaliers;;CD mais hors périmètre ;;;Reste à renseigner
164;Etablissements Expérimentaux Accueil de la Petite Enfance;Etablissements et Services Sociaux d'Aide à la Famille;;CD mais hors périmètre ;;;Reste à renseigner
165;Appartement de Coordination Thérapeutique (A.C.T.);Autres Etab. Accueil, Hébergement, Réadaptation et Services;Médico-social;ARS;;;
166;Etablissement d'Accueil Mère-Enfant;Etab.et Serv.Sociaux Concourant à la Protection de l'Enfance;Social;Message de redirection vers le 119;;;Que fait-on pour la redirection ?
167;Crèche Collective;Etablissements et Services Sociaux d'Aide à la Famille;;CD mais hors périmètre ;;;Reste à renseigner
168;Service Accueil Familial pour la Petite Enfance;Etablissements et Services Sociaux d'Aide à la Famille;;CD mais hors périmètre ;;;Reste à renseigner
169;Crèche Multi Accueil Collectif et Familial;Etablissements et Services Sociaux d'Aide à la Famille;;CD mais hors périmètre ;;;Reste à renseigner
170;Halte Garderie;Etablissements et Services Sociaux d'Aide à la Famille;;CD mais hors périmètre ;;;Reste à renseigner
171;Garderie et Jardin d'Enfants;Etablissements et Services Sociaux d'Aide à la Famille;;CD mais hors périmètre ;;;Reste à renseigner
172;Pouponnière à Caractère Social;Etab.et Serv.Sociaux Concourant à la Protection de l'Enfance;Social;Message de redirection vers le 119;;;Que fait-on pour la redirection ? Le message n'est pas possible selon l'établissement dans le formulaire demat.social
173;Pouponnière à Caractère Sanitaire;Etablissements Hospitaliers;;CD mais hors périmètre ;;;Reste à renseigner
174;Etablissement d'Accueil Collectif Régulier et Occasionnel;Etablissements et Services Sociaux d'Aide à la Famille;;? ;;;Reste à renseigner
175;Foyer de l'Enfance;Etab.et Serv.Sociaux Concourant à la Protection de l'Enfance;Social;Message de redirection vers le 119;;;Que fait-on pour la redirection ? Le message n'est pas possible selon l'établissement dans le formulaire demat.social
176;Village d'Enfants;Etab.et Serv.Sociaux Concourant à la Protection de l'Enfance;Social;Message de redirection vers le 119;;;Que fait-on pour la redirection ? Le message n'est pas possible selon l'établissement dans le formulaire demat.social
177;Maison d'Enfants à Caractère Social;Etab.et Serv.Sociaux Concourant à la Protection de l'Enfance;Social;Message de redirection vers le 119;;;Que fait-on pour la redirection ? Le message n'est pas possible selon l'établissement dans le formulaire demat.social
178;Ctre.Accueil/ Accomp.Réduc.Risq.Usag. Drogues (C.A.A.R.U.D.);Autres Etab. Accueil, Hébergement, Réadaptation et Services;Médico-social;ARS;;;
179;Maison d'Enfants à Caractère Sanitaire Permanente;Etablissements Hospitaliers;Sanitaire;ARS;;;
180;Lits Halte Soins Santé (L.H.S.S.);Autres Etab. Accueil, Hébergement, Réadaptation et Services;Médico-social;ARS;;;
181;Maison Familiale de Vacances;Etablissements et Services Sociaux d'Aide à la Famille;Social;CD;;;
182;Service d'Éducation Spéciale et de Soins à Domicile;Etab.et Serv.pour l'Enfance et la Jeunesse Handicapée;Médico-social;ARS;;;
183;Institut Médico-Educatif (I.M.E.);Etab.et Serv.pour l'Enfance et la Jeunesse Handicapée;Médico-social;ARS;;;
186;Institut Thérapeutique Éducatif et Pédagogique (I.T.E.P.);Etab.et Serv.pour l'Enfance et la Jeunesse Handicapée;Médico-social;ARS;;;
188;Etablissement pour Enfants ou Adolescents Polyhandicapés;Etab.et Serv.pour l'Enfance et la Jeunesse Handicapée;Médico-social;Message de redirection vers le 119;ARS;;Que fait-on pour la redirection ? ARS ?
189;Centre Médico-Psycho-Pédagogique (C.M.P.P.);Etab.et Serv.pour l'Enfance et la Jeunesse Handicapée;Médico-social;ARS;;;
190;Centre Action Médico-Sociale Précoce (C.A.M.S.P.);Etab.et Serv.pour l'Enfance et la Jeunesse Handicapée;Médico-social;ARS;;;
192;Institut d'éducation motrice;Etab.et Serv.pour l'Enfance et la Jeunesse Handicapée;Médico-social;ARS;;;
194;Institut pour Déficients Visuels;Etab.et Serv.pour l'Enfance et la Jeunesse Handicapée;Médico-social;ARS;;il existe aussi des établissements nationaux;
195;Institut pour Déficients Auditifs;Etab.et Serv.pour l'Enfance et la Jeunesse Handicapée;Médico-social;ARS;;il existe aussi des établissements nationaux;
196;Institut d'Education Sensorielle Sourd/Aveugle;Etab.et Serv.pour l'Enfance et la Jeunesse Handicapée;Médico-social;ARS;;il existe aussi des établissements nationaux;
197;Centre soins accompagnement prévention addictologie (CSAPA);Autres Etab. Accueil, Hébergement, Réadaptation et Services;Médico-social;ARS;;;
198;Établissement et Service de Préorientation;Etablissements et Services pour Adultes Handicapés;Médico-social;CD;;;
199;Hospice;Etablissements et Services pour Personnes Agées;;obsolète ;;;Reste à renseigner
200;Maison de Retraite;Etablissements et Services pour Personnes Agées;;ARS pour le soins en ehpad /CD hors soins ;;;
202;Résidences autonomie;Etablissements et Services pour Personnes Agées;Social;CD;;;
205;Foyer Club Restaurant;Etablissements et Services pour Personnes Agées;Social;CD;;;
207;Centre de Jour pour Personnes Agées;Etablissements et Services pour Personnes Agées;Médico-social;ARS;CD;cela dépend des préstations proposées;Quels type de prestations pour l'ARS et pour CD ? Nouvelle règle métier pour l'arbre ?
208;Service d'Aide Ménagère à Domicile;Etablissements et Services pour Personnes Agées;Social;CD;;;
209;Service autonomie aide et soins (SAAS);Autres Etab. Accueil, Hébergement, Réadaptation et Services;Médico-social;CD;;cela dépend de la vocation commerciale ou non;C'est à dire ? Nouvelle règle métier pour l'arbre ?
212;Alarme Médico-Sociale;Etablissements et Services pour Personnes Agées;Médico-social;CD;;;
213;Lits d'Accueil Médicalisés (L.A.M.);Autres Etab. Accueil, Hébergement, Réadaptation et Services;Médico-social;ARS;;;
214;Centre Hébergement & Réinsertion Sociale (C.H.R.S.);Autres Etab. Accueil, Hébergement, Réadaptation et Services;Social;DDETS ;CD;;
216;Résidence Hôtelière à Vocation Sociale (R.H.V.S.);Autres Etab. Accueil, Hébergement, Réadaptation et Services;Social;DDETS ;;;Reste à renseigner
217;Cité de Transit;Autres Etab. Accueil, Hébergement, Réadaptation et Services;;obsolète ;;;Reste à renseigner
218;Aire Station Nomades;Autres Etab. Accueil, Hébergement, Réadaptation et Services;Social;Hors périmètre;;;Reste à renseigner
219;Autre Centre d'Accueil;Autres Etab. Accueil, Hébergement, Réadaptation et Services;Social;DDETS;;;
